City,State,Datetime,US_AQI,PM2_5_ugm3,AirIntel_Risk_Score,Risk_Category
Bhubaneswar,Odisha,2024-04-15 07:00:00,111.0,37.3,21.10966666666667,Safe
Kolkata,West Bengal,2024-09-28 15:00:00,40.0,8.2,9.139666666666667,Safe
Gurugram,Haryana,2022-12-14 17:00:00,14.0,0.5,16.174333333333333,Safe
Thiruvananthapuram,Kerala,2023-10-13 07:00:00,24.0,8.5,15.885666666666665,Safe
Jaipur,Rajasthan,2024-10-07 06:00:00,78.0,26.6,14.543333333333333,Safe
Aizawl,Mizoram,2023-04-15 13:00:00,90.0,25.1,16.965333333333334,Safe
Visakhapatnam,Andhra Pradesh,2023-02-20 06:00:00,131.0,89.9,30.412333333333336,Moderate
Bhopal,Madhya Pradesh,2022-10-26 00:00:00,141.0,68.2,23.829666666666665,Safe
Kohima,Nagaland,2023-08-31 13:00:00,72.0,24.9,8.661999999999999,Safe
Ranchi,Jharkhand,2023-05-11 01:00:00,83.0,26.4,16.54,Safe
Gurugram,Haryana,2024-04-15 18:00:00,151.0,41.0,18.668333333333333,Safe
Delhi,Delhi,2022-11-22 03:00:00,151.0,61.0,28.939666666666668,Moderate
Shimla,Himachal Pradesh,2023-06-01 01:00:00,53.0,9.6,10.288,Safe
Gurugram,Haryana,2023-06-14 22:00:00,74.0,23.5,9.727666666666666,Safe
Panaji,Goa,2024-05-09 23:00:00,50.0,12.1,5.634666666666667,Safe
Lucknow,Uttar Pradesh,2023-06-01 19:00:00,99.0,25.4,10.966333333333333,Safe
Bengaluru,Karnataka,2025-06-30 05:00:00,35.0,6.4,8.616666666666667,Safe
Shimla,Himachal Pradesh,2022-10-04 15:00:00,55.0,15.3,6.08,Safe
Shimla,Himachal Pradesh,2023-08-05 12:00:00,81.0,27.8,14.878333333333334,Safe
Mumbai,Maharashtra,2024-01-10 05:00:00,163.0,45.3,28.094,Moderate
Shimla,Himachal Pradesh,2024-06-12 14:00:00,135.0,18.0,24.867,Safe
Ahmedabad,Gujarat,2023-03-14 16:00:00,155.0,21.1,21.724666666666664,Safe
Ranchi,Jharkhand,2024-01-26 10:00:00,100.0,31.8,21.785,Safe
Chandigarh,Punjab,2022-11-26 15:00:00,154.0,59.1,28.804000000000002,Moderate
Itanagar,Arunachal Pradesh,2023-05-13 10:00:00,65.0,17.6,7.144333333333333,Safe
Kohima,Nagaland,2023-06-24 17:00:00,36.0,9.9,16.978,Safe
Chandigarh,Punjab,2025-03-05 10:00:00,86.0,20.7,8.949999999999998,Safe
Kolkata,West Bengal,2023-06-11 12:00:00,94.0,42.8,12.293333333333333,Safe
Dehradun,Uttarakhand,2023-01-08 05:00:00,151.0,24.8,24.798333333333332,Safe
Aizawl,Mizoram,2025-08-07 16:00:00,41.0,10.9,9.381666666666668,Safe
Itanagar,Arunachal Pradesh,2023-05-08 09:00:00,72.0,25.7,13.592333333333332,Safe
Bhopal,Madhya Pradesh,2023-04-18 00:00:00,68.0,27.4,15.457666666666666,Safe
Shimla,Himachal Pradesh,2025-08-09 19:00:00,105.0,37.8,25.669,Moderate
Panaji,Goa,2024-07-21 03:00:00,45.0,8.5,9.604666666666667,Safe
Shillong,Meghalaya,2025-02-17 04:00:00,117.0,40.3,28.477666666666668,Moderate
Delhi,Delhi,2025-11-04 09:00:00,167.0,97.3,49.06266666666667,Moderate
Agartala,Tripura,2025-09-28 21:00:00,69.0,61.0,24.431666666666665,Safe
Gurugram,Haryana,2024-04-19 14:00:00,165.0,33.5,33.412333333333336,Moderate
Bhopal,Madhya Pradesh,2024-03-23 05:00:00,71.0,16.8,7.601,Safe
Ranchi,Jharkhand,2023-01-26 16:00:00,160.0,63.8,34.81333333333333,Moderate
Kohima,Nagaland,2024-06-07 10:00:00,83.0,22.1,9.352333333333334,Safe
Mumbai,Maharashtra,2025-10-03 03:00:00,52.0,9.9,5.228000000000001,Safe
Ahmedabad,Gujarat,2024-04-20 19:00:00,95.0,13.6,16.178666666666665,Safe
Hyderabad,Telangana,2025-02-09 01:00:00,127.0,59.1,30.894000000000002,Moderate
Itanagar,Arunachal Pradesh,2024-09-12 22:00:00,51.0,10.2,5.1979999999999995,Safe
Chennai,Tamil Nadu,2025-10-13 13:00:00,58.0,18.5,11.440333333333335,Safe
Ahmedabad,Gujarat,2022-12-22 07:00:00,100.0,49.1,28.397333333333336,Moderate
Bhubaneswar,Odisha,2025-04-03 16:00:00,59.0,13.3,6.104666666666667,Safe
Thiruvananthapuram,Kerala,2023-07-16 21:00:00,48.0,12.3,5.44,Safe
Guwahati,Assam,2025-10-31 19:00:00,76.0,17.8,7.8036666666666665,Safe
Guwahati,Assam,2025-05-01 11:00:00,112.0,29.4,16.997,Safe
Imphal,Manipur,2023-07-13 09:00:00,28.0,3.2,10.591333333333333,Safe
Jaipur,Rajasthan,2024-06-28 09:00:00,59.0,15.3,11.382000000000001,Safe
Gurugram,Haryana,2023-10-04 12:00:00,129.0,40.3,21.765666666666668,Safe
Ranchi,Jharkhand,2024-09-09 02:00:00,57.0,12.7,5.964666666666667,Safe
Gangtok,Sikkim,2024-06-28 05:00:00,36.0,3.1,11.221666666666666,Safe
Chandigarh,Punjab,2025-01-17 19:00:00,151.0,78.9,29.728,Moderate
Delhi,Delhi,2022-12-16 04:00:00,16.0,0.5,11.334333333333333,Safe
Guwahati,Assam,2024-02-07 05:00:00,114.0,33.9,30.844,Moderate
Agartala,Tripura,2024-01-23 02:00:00,163.0,100.4,39.260333333333335,Moderate
Imphal,Manipur,2025-04-01 11:00:00,156.0,52.0,22.824666666666666,Safe
Gangtok,Sikkim,2024-07-02 10:00:00,34.0,2.4,10.982,Safe
Shillong,Meghalaya,2025-09-28 03:00:00,40.0,16.2,17.766,Safe
Patna,Bihar,2025-07-30 12:00:00,95.0,30.4,15.571666666666665,Safe
Bhubaneswar,Odisha,2024-09-18 05:00:00,71.0,17.8,7.655666666666666,Safe
Jaipur,Rajasthan,2023-10-16 02:00:00,77.0,15.5,7.9223333333333334,Safe
Panaji,Goa,2023-07-23 17:00:00,43.0,9.2,4.518333333333333,Safe
Gurugram,Haryana,2023-09-08 17:00:00,175.0,22.9,16.519666666666666,Safe
Ahmedabad,Gujarat,2024-11-03 09:00:00,117.0,32.1,22.961000000000002,Safe
Panaji,Goa,2023-04-14 02:00:00,84.0,29.9,15.015333333333334,Safe
Thiruvananthapuram,Kerala,2024-06-19 08:00:00,47.0,10.9,10.116666666666667,Safe
Hyderabad,Telangana,2023-06-03 08:00:00,74.0,15.0,7.652,Safe
Shimla,Himachal Pradesh,2024-09-22 21:00:00,118.0,27.7,20.480666666666664,Safe
Raipur,Chhattisgarh,2024-02-06 07:00:00,151.0,56.2,33.46666666666667,Moderate
Bhopal,Madhya Pradesh,2022-10-09 10:00:00,54.0,14.2,10.881666666666668,Safe
Lucknow,Uttar Pradesh,2023-11-21 22:00:00,161.0,72.2,30.870333333333335,Moderate
Gangtok,Sikkim,2023-09-01 03:00:00,81.0,18.7,21.497666666666667,Safe
Gangtok,Sikkim,2025-09-06 09:00:00,36.0,3.9,11.263,Safe
