City,Mean_Absolute_Error,Max_Absolute_Error,Observation_Count
Gurugram,20.935228289148526,308.56555550540827,4022
Delhi,19.553324847619912,284.2805212710065,4300
Mumbai,15.91453484158577,169.16141586954882,4405
Kolkata,15.754565181684052,127.99678256953285,4305
Ranchi,15.223420049438436,77.48421238552673,4442
Chandigarh,15.069318026110881,68.85234021284188,4398
Bhubaneswar,14.8104643784791,116.68519716666309,4303
Agartala,14.759881011483476,87.48067991079452,4322
Patna,14.724890452995224,116.00088750297942,4369
Lucknow,14.540065232636024,255.75455645909054,4403
Visakhapatnam,14.520814499651186,82.99812979136308,4305
Chennai,14.191572900803557,90.72621220999702,4400
Hyderabad,14.111732721220282,84.22317520483196,4436
Jaipur,13.993631124238659,75.3562909563423,4300
Raipur,13.889402990390794,93.27303531722876,4374
Dehradun,13.85062098401995,89.54330540559454,4386
Ahmedabad,13.24957542918533,112.41651359991967,4318
Bhopal,12.890818916355144,73.29370000207469,4313
Bengaluru,11.479142158535721,70.3788580625371,4336
Thiruvananthapuram,11.422445295948858,129.12666805253917,4288
Guwahati,11.259136906444075,69.4725523367098,4325
Shimla,11.140448855020717,70.74491537394837,4374
Aizawl,10.894835309590935,74.46490373927304,4376
Panaji,10.397036987957623,73.4123479181496,4354
Imphal,10.311249336139596,68.09028290070766,4504
Shillong,10.230053405812772,75.17728852476479,4362
Gangtok,9.776623771882345,70.59484730199826,4300
Itanagar,8.934480014705299,52.302894182697585,4310
Kohima,8.920789669486178,63.41761534007851,4317
