City,PM2_5_ugm3,PM10_ugm3,NO2_ugm3,SO2_ugm3,CO_ugm3,O3_ugm3
Gurugram,78.71,221.9,48.78,35.54,1047.38,80.04
Delhi,70.8,142.77,42.41,37.79,1004.9,85.58
Patna,59.9,83.74,18.63,16.2,576.5,94.71
Kolkata,57.04,77.13,24.78,22.2,662.89,83.55
Lucknow,56.29,89.81,19.12,15.01,538.17,90.96
Raipur,50.47,70.03,29.78,50.94,582.43,74.63
Mumbai,41.41,66.19,23.01,31.48,460.06,98.66
Agartala,41.27,55.8,22.76,6.24,389.07,74.03
Chandigarh,40.8,60.86,22.01,14.56,650.18,87.33
Bhubaneswar,39.7,54.93,10.81,13.23,401.85,86.51
Visakhapatnam,37.75,54.57,29.6,41.25,734.87,69.85
Jaipur,36.54,77.15,17.69,8.49,431.29,82.81
Ranchi,35.69,51.14,10.14,17.73,340.09,94.52
Ahmedabad,29.94,49.52,20.23,10.68,381.62,67.92
Guwahati,29.68,40.15,6.9,3.46,366.96,77.27
Dehradun,28.86,42.83,14.89,8.62,430.4,88.37
Bhopal,28.09,42.58,5.73,5.84,300.81,83.65
Hyderabad,27.37,39.18,13.92,9.1,415.94,81.59
Chennai,22.78,35.24,11.73,12.26,279.61,81.44
Panaji,22.09,33.33,6.53,4.06,272.99,67.07
Imphal,21.9,29.35,10.97,3.7,388.75,67.97
Shimla,21.1,31.61,10.56,5.19,316.22,88.13
Bengaluru,20.39,28.81,16.72,7.4,379.32,68.15
Shillong,19.83,27.39,4.92,2.71,287.65,82.1
Gangtok,18.96,25.58,6.75,2.07,363.95,88.29
Aizawl,17.9,24.59,5.73,1.91,285.84,62.38
Kohima,17.69,24.06,6.07,1.96,298.01,69.42
Itanagar,17.59,23.76,3.26,1.45,264.97,74.96
Thiruvananthapuram,16.91,27.47,3.41,3.32,223.11,82.05
