City,Episode Count,Longest Episode Duration (Hours),Average Episode Duration (Hours),Max AQI during Episode
Agartala,156,638,54.09615384615385,233.0
Ahmedabad,91,203,26.53846153846154,213.0
Aizawl,40,148,22.0,215.0
Bengaluru,46,40,5.760869565217392,204.0
Bhopal,49,198,43.55102040816327,178.0
Bhubaneswar,138,1173,50.97826086956522,206.0
Chandigarh,344,763,18.569767441860463,209.0
Chennai,52,82,9.346153846153847,206.0
Dehradun,150,117,11.693333333333333,203.0
Delhi,269,1122,64.36059479553903,830.0
Gangtok,27,121,23.666666666666668,181.0
Gurugram,235,2604,78.88936170212766,2742.0
Guwahati,65,231,32.184615384615384,203.0
Hyderabad,131,131,12.34351145038168,195.0
Imphal,43,115,22.372093023255815,211.0
Itanagar,13,82,30.692307692307693,185.0
Jaipur,113,336,42.72566371681416,208.0
Kohima,21,172,24.19047619047619,198.0
Kolkata,164,1451,74.15853658536585,312.0
Lucknow,202,1106,54.86138613861386,429.0
Mumbai,292,639,31.16780821917808,369.0
Panaji,50,65,7.34,195.0
Patna,236,1485,54.74152542372882,282.0
Raipur,225,1186,45.86222222222222,231.0
Ranchi,171,369,28.894736842105264,213.0
Shillong,41,121,19.414634146341463,200.0
Shimla,87,60,7.505747126436781,193.0
Thiruvananthapuram,60,19,6.216666666666667,214.0
Visakhapatnam,88,473,60.34090909090909,204.0
