City,State,Average AQI,AQI Median,AQI Standard Deviation,AQI Variance,AQI Maximum,AQI Minimum,AQI 90th Percentile,AQI Interquartile Range (IQR),Observation Count,Average PM2.5,Average PM10,Average NO2,Average SO2,Average CO,Average O3,Average Temperature,Average Humidity,Average Pressure,Average Wind Speed,Average Rainfall,AQI Coefficient of Variation (CV)
Agartala,Tripura,105.52929223351128,104.0,48.106058575823816,2314.192871700592,233.0,13.0,,,29035,41.27275482093664,55.797241735537185,22.762489669421488,6.236635674931129,389.0749655647383,74.028891184573,25.539855371900828,78.6543044077135,1008.4186432506887,8.097389807162536,0.2096694214876033,0.4558550290413824
Ahmedabad,Gujarat,89.11727225762012,80.0,33.600311132121135,1128.9809081753433,213.0,12.0,,,29035,29.944807162534435,49.51638085399449,20.23308539944904,10.684969008264463,381.6242424242424,67.92441460055096,27.74224173553719,55.5150826446281,1008.4015151515151,9.625282369146007,0.1263119834710744,0.37703477991325174
Aizawl,Mizoram,59.562045806784916,51.0,34.78068395318395,1209.695976251268,215.0,9.0,,,29035,17.898130165289256,24.591659779614325,5.7299087465564735,1.9082438016528926,285.8370867768595,62.37503443526171,19.00814393939394,78.42389807162535,1010.2167906336089,4.2502582644628095,0.19647727272727272,0.5839403848888945
Bengaluru,Karnataka,66.77124160495953,66.0,32.1643377529853,1034.5446230881153,204.0,12.0,,,29035,20.389070247933883,28.806553030303032,16.720227272727275,7.395096418732782,379.31584022038567,68.14755509641873,23.407816804407712,70.12957988980716,1011.5916219008265,12.052620523415976,0.1178133608815427,0.48170944526207893
Bhopal,Madhya Pradesh,85.03795419321509,78.0,33.34190227454361,1111.682447285216,178.0,12.0,,,29035,28.093822314049586,42.584173553719005,5.72991391184573,5.838581267217631,300.81274104683195,83.64714187327824,24.880340909090908,61.44986225895317,1009.2928650137741,9.471191460055097,0.1536570247933884,0.39208260112640214
Bhubaneswar,Odisha,103.73108317547788,94.0,42.66135641028203,1819.991330765112,206.0,11.0,,,29035,39.6983608815427,54.92518939393939,10.81388085399449,13.228753443526172,401.8508953168044,86.50771349862259,26.885024104683193,76.63901515151515,1007.8632610192838,9.248171487603306,0.21140151515151517,0.41126878370790226
Chandigarh,Punjab,115.33800585500258,112.0,32.65530229556472,1066.3687680147143,209.0,12.0,,,29035,40.80176308539945,60.85928374655648,22.01000344352617,14.563333333333334,650.180785123967,87.33095730027549,23.378691460055094,62.28856749311295,1008.7935192837466,8.723980716253443,0.09012741046831957,0.28312698883156867
Chennai,Tamil Nadu,74.3470983296022,69.0,27.784851994927894,771.9980003800486,206.0,12.0,,,29035,22.784380165289257,35.23926652892562,11.725829889807162,12.257572314049588,279.6086432506887,81.43567493112948,28.192730716253443,74.99996556473829,1008.6745420110193,11.713904958677686,0.1911742424242424,0.3737180417149517
Dehradun,Uttarakhand,91.99280179094197,86.0,29.85160393935466,891.1182577520947,203.0,12.0,,,29035,28.855699035812673,42.83396005509642,14.88801308539945,8.620857438016529,430.39934573002756,88.3650826446281,20.82822314049587,70.48891184573003,1009.5915426997244,4.720182506887053,0.1375309917355372,0.3244993451465241
Delhi,Delhi,159.84363698983984,155.0,68.15381590823567,4644.942622853678,830.0,12.0,,,29035,70.7956370523416,142.7686329201102,42.40573002754821,37.793033746556475,1004.9013085399449,85.57796143250688,24.872613636363635,63.356783746556474,1008.5825929752066,8.434758953168044,0.10084366391184572,0.4263780353832148
Gangtok,Sikkim,65.99076976063371,60.0,30.96445927255086,958.7977380414611,181.0,12.0,,,29035,18.960678374655647,25.578667355371902,6.750334022038568,2.0658608815426995,363.94690082644627,88.28543388429752,15.498994490358127,78.48801652892563,1012.2854132231405,3.4539015151515153,0.3877892561983471,0.46922409580714536
Gurugram,Haryana,222.52168073015326,159.0,263.2451267003559,69297.99673148645,2742.0,12.0,,,29035,78.70997933884297,221.90472107438015,48.7793870523416,35.54335743801653,1047.3844008264464,80.03658746556474,24.22232438016529,64.97882231404958,1008.6393526170799,8.678367768595042,0.08967630853994489,1.18300889080371
Guwahati,Assam,87.50504563457896,78.0,34.53512208854671,1192.6746576708265,203.0,12.0,,,29035,29.678312672176308,40.150967630854,6.90245867768595,3.462513774104683,366.9599173553719,77.26852617079889,24.625385674931128,80.74480027548209,1008.6192458677685,5.545089531680441,0.2856095041322314,0.39466435150225926
Hyderabad,Telangana,83.88203891854658,80.0,38.10165800882996,1451.7363430218359,195.0,12.0,,,29035,27.372031680440774,39.177944214876035,13.92396349862259,9.103488292011019,415.9423553719008,81.59063360881542,26.082293388429754,64.42555096418732,1009.7483746556474,10.040451101928374,0.12090220385674931,0.454229039971578
Imphal,Manipur,71.03402789736525,64.0,31.048418380942135,964.0042839580253,211.0,14.0,,,29035,21.898202479338845,29.345957300275483,10.974531680440773,3.6999758953168045,388.7508953168044,67.97451790633609,21.281949035812673,74.20623278236914,1010.7930785123967,5.403939393939393,0.14684228650137743,0.4370921838446636
Itanagar,Arunachal Pradesh,60.25365937661443,54.0,26.0151851832515,676.7898601188683,185.0,12.0,,,29035,17.58551997245179,23.763942837465567,3.264424931129476,1.4460881542699724,264.96949035812673,74.95995179063361,22.661831955922864,76.58453856749311,1009.4006301652893,4.318309228650137,0.3012568870523416,0.43176108227126997
Jaipur,Rajasthan,103.27036335457207,95.0,34.66707483012107,1201.8060772772135,208.0,12.0,,,29035,36.544645316804406,77.1454717630854,17.686327479338843,8.491477272727273,431.28891184573,82.80743801652892,24.678729338842977,56.294111570247935,1009.0161639118456,8.685216942148761,0.08305440771349863,0.3356923874770724
Kohima,Nagaland,60.00361632512485,52.0,30.664357791263775,940.3028387506394,198.0,10.0,,,29035,17.685278925619834,24.06309917355372,6.067396694214876,1.9562345041322315,298.005303030303,69.42317493112948,16.946608126721763,82.00268595041322,1011.8850034435262,4.764170110192837,0.4666528925619835,0.5110418282976709
Kolkata,West Bengal,122.45975546753918,124.0,53.221426213310394,2832.520208178843,312.0,12.0,,,29035,57.03755165289256,77.12814049586777,24.78289256198347,22.197548209366392,662.8899449035813,83.54769283746556,26.421594352617078,76.71907713498622,1007.8601652892562,8.36535123966942,0.23329545454545453,0.4346034010121633
Lucknow,Uttar Pradesh,129.40557947304976,129.0,40.690080417127604,1655.6826443523112,429.0,12.0,,,29035,56.29076101928374,89.80699035812673,19.124517906336088,15.01477961432507,538.1666666666666,90.95836776859504,25.367482782369144,65.79252754820936,1008.0100447658402,8.647530991735536,0.1259435261707989,0.3144383772540642
Mumbai,Maharashtra,114.22899948338213,89.0,55.848233857415515,3119.025224992573,369.0,11.0,,,29035,41.41384297520661,66.18642906336088,23.013915289256197,31.478123278236914,460.0619490358127,98.65929752066116,27.1749414600551,71.54156336088154,1009.007155647383,11.24982782369146,0.2946728650137741,0.4889146723686417
Panaji,Goa,71.73380402961942,65.0,31.425590422352062,987.5677333934258,195.0,14.0,,,29035,22.090068870523414,33.32554752066116,6.5284504132231405,4.056167355371901,272.9937672176309,67.06735537190083,26.651959366391186,77.37517217630854,1009.2776721763086,11.040588842975207,0.3631439393939394,0.43808621120073604
Patna,Bihar,132.85107628723955,141.0,42.7816319515758,1830.268032440091,282.0,14.0,,,29035,59.89698347107438,83.7370523415978,18.629397382920107,16.199280303030303,576.4977961432506,94.71305096418733,25.75814393939394,69.65330578512396,1007.8548553719008,9.40043044077135,0.1337741046831956,0.3220269880168446
Raipur,Chhattisgarh,123.69416221801275,128.0,38.733828944937734,1500.3095047356965,231.0,12.0,,,29035,50.47162534435262,70.02698691460056,29.776525482093664,50.93659779614325,582.4296143250689,74.63391873278236,26.22253787878788,64.35688705234159,1008.3153340220385,7.82495523415978,0.20292011019283748,0.3131419320878604
Ranchi,Jharkhand,100.32216290683658,95.0,39.83543872505177,1586.8621784173545,213.0,12.0,,,29035,35.68763429752066,51.14386363636364,10.136515151515152,17.727052341597794,340.092803030303,94.51518595041323,23.465189393939394,66.80144628099174,1009.5135709366392,9.824803719008264,0.1581646005509642,0.3970751583779613
Shillong,Meghalaya,66.27249870845532,56.0,33.90181191032645,1149.3328508031525,200.0,13.0,,,29035,19.82801652892562,27.39438016528926,4.92353650137741,2.707207300275482,287.65461432506885,82.09662534435262,17.799555785123967,77.3986570247934,1012.130664600551,7.085533746556473,0.16616735537190083,0.5115517382174866
Shimla,Himachal Pradesh,74.89956948510418,69.0,26.66933569551346,711.2534664399884,193.0,12.0,,,29035,21.101573691460054,31.61357438016529,10.560599173553719,5.185569903581268,316.2222796143251,88.132782369146,11.783422865013772,68.35482093663911,1013.2080785123967,4.88650826446281,0.14300275482093663,0.3560679437659169
Thiruvananthapuram,Kerala,63.2288272774238,55.0,27.631319696796336,763.4898281865652,214.0,15.0,,,29035,16.912276170798897,27.470499311294766,3.406763085399449,3.3207506887052345,223.11487603305784,82.05392561983471,26.577830578512394,83.18818870523415,1010.012217630854,9.468915289256199,0.3060674931129477,0.4370050954062571
Visakhapatnam,Andhra Pradesh,102.50008610297917,96.0,37.056114697681615,1373.1556364877351,204.0,12.0,,,29035,37.750223829201104,54.568818870523415,29.60133953168044,41.25347796143251,734.8650137741047,69.85013774104684,27.268243801652893,77.56670110192837,1008.1995798898072,10.391057162534436,0.19221418732782367,0.3615227665316525
