City,Most_Similar_Cosine_1,Most_Similar_Cosine_2,Most_Similar_Euclidean_1,Most_Similar_Euclidean_2
Agartala,Guwahati,Kolkata,Bhubaneswar,Guwahati
Ahmedabad,Jaipur,Hyderabad,Jaipur,Hyderabad
Aizawl,Imphal,Itanagar,Imphal,Itanagar
Bengaluru,Hyderabad,Imphal,Hyderabad,Imphal
Bhopal,Hyderabad,Jaipur,Hyderabad,Ranchi
Bhubaneswar,Chennai,Patna,Agartala,Chennai
Chandigarh,Lucknow,Jaipur,Jaipur,Lucknow
Chennai,Thiruvananthapuram,Panaji,Bhubaneswar,Hyderabad
Dehradun,Shimla,Gangtok,Ranchi,Imphal
Delhi,Gurugram,Lucknow,Gurugram,Raipur
Gangtok,Kohima,Shillong,Kohima,Shillong
Gurugram,Delhi,Lucknow,Delhi,Raipur
Guwahati,Itanagar,Thiruvananthapuram,Itanagar,Agartala
Hyderabad,Bhopal,Ahmedabad,Bhopal,Jaipur
Imphal,Aizawl,Shillong,Aizawl,Shillong
Itanagar,Guwahati,Aizawl,Guwahati,Aizawl
Jaipur,Chandigarh,Ahmedabad,Chandigarh,Hyderabad
Kohima,Gangtok,Itanagar,Gangtok,Itanagar
Kolkata,Delhi,Patna,Patna,Lucknow
Lucknow,Patna,Chandigarh,Patna,Chandigarh
Mumbai,Patna,Ranchi,Ranchi,Bhubaneswar
Panaji,Thiruvananthapuram,Chennai,Thiruvananthapuram,Chennai
Patna,Lucknow,Kolkata,Lucknow,Kolkata
Raipur,Visakhapatnam,Delhi,Visakhapatnam,Kolkata
Ranchi,Bhopal,Mumbai,Bhopal,Hyderabad
Shillong,Shimla,Gangtok,Imphal,Shimla
Shimla,Shillong,Gangtok,Shillong,Gangtok
Thiruvananthapuram,Panaji,Chennai,Panaji,Chennai
Visakhapatnam,Raipur,Kolkata,Raipur,Kolkata
