Model,Train Accuracy,Validation Accuracy,Train Precision,Validation Precision,Train Recall,Validation Recall,Train F1,Validation F1,Training Time (sec)
Decision Tree,0.9458766482347937,0.8353196185697158,0.9368749189875548,0.8001128457108049,0.9189502621993265,0.7806153953163145,0.9273858403798251,0.789944871957898,210.96
Random Forest,0.9486005954912803,0.8439502330345304,0.9666746897888793,0.8698394568657936,0.9004129563741089,0.7284804670214391,0.9291046688911618,0.7785081109781511,284.22
K-Nearest Neighbors,0.8831118672905147,0.7938577338086655,0.8672013542825622,0.7648952941100872,0.830780538310479,0.71910064846845,0.8458868124551863,0.7365720967710466,7.81
LightGBM,0.714945129732029,0.7102749569263261,0.7027563216064922,0.6651757153529435,0.64301999131554,0.6368355336408461,0.6640277171026979,0.63844476173655,29.78
HistGradient Boosting,0.6748838792003403,0.6725209810475835,0.6564008820524277,0.6523539053992914,0.5857002430336495,0.5827429039661,0.6009769932113108,0.5959569638461063,18.79
XGBoost,0.6913755848575075,0.6883847967795977,0.6658405717738763,0.6615029947100254,0.5791753189854485,0.5788670350475541,0.5881662935168732,0.5849129551698417,34.81
Logistic Regression,0.63084985112718,0.6277481797899116,0.5858857478476024,0.5936500549727463,0.4659807487241506,0.47373244205915693,0.48838350082957765,0.4972325210799819,882.15
Gradient Boosting,0.6272088472990217,0.6247866165926937,0.6017913055265302,0.6038225378841644,0.4230486444840686,0.42824434410896234,0.45111097740605016,0.45770390981296644,6207.17
AdaBoost,0.5657269247128881,0.5628716841210986,0.36213877622729757,0.3608663680319557,0.3073375437134033,0.3056839983908261,0.30430997936628296,0.30270009656792146,238.48
Gaussian Naive Bayes,0.2946831135686942,0.2971329209905754,0.28530459925203916,0.2880189121411246,0.4651630394157622,0.46944819583108677,0.2207299492633776,0.2238027055148117,9.37
