Feature_1,Feature_2,Pearson,Spearman,Kendall
PM2_5_ugm3,SO2_ugm3,0.5878482215395361,0.716462511310159,0.5263911017246499
PM10_ugm3,PM2_5_ugm3,0.6705074795717988,0.9509186758356326,0.8276213940457168
PM10_ugm3,SO2_ugm3,0.31779442783702627,0.6998256569075121,0.5100952328513912
CO_ugm3,PM2_5_ugm3,0.7167768166281667,0.7546342509469159,0.5596929744931839
CO_ugm3,PM10_ugm3,0.36288233489365224,0.652738548449168,0.47321092425112543
CO_ugm3,NO2_ugm3,0.7845268264803409,0.7247197024310807,0.5316641788852796
CO_ugm3,SO2_ugm3,0.6033362484306423,0.6280179958295594,0.4457322126832014
CO_ugm3,O3_ugm3,-0.18549556598581227,-0.10298252065208524,-0.06425413597663937
NO2_ugm3,PM2_5_ugm3,0.6341739215598379,0.5461984548492067,0.3836758600878858
NO2_ugm3,PM10_ugm3,0.3303708064659684,0.4830051274303955,0.3372514718518493
NO2_ugm3,SO2_ugm3,0.619505846735743,0.617235296557891,0.4390895296134059
NO2_ugm3,O3_ugm3,-0.3553380396481,-0.4395244095165941,-0.3055494524666982
O3_ugm3,PM2_5_ugm3,0.05888381985551111,0.15287162503606427,0.11037135411890901
O3_ugm3,PM10_ugm3,0.0987680237728489,0.17542337150436685,0.1241898737999787
O3_ugm3,SO2_ugm3,0.014482537583965071,0.11190690524359956,0.0810002816315287
