City,State,US_AQI,PCA1,PCA2,TSNE1,TSNE2,UMAP1,UMAP2
Bhubaneswar,Odisha,111.0,-1.445074887661849,2.598514055524004,19.688822,24.4458,-1.20347794686201,2.2018237321368437
Kolkata,West Bengal,40.0,-8.1486783046033,-1.5098470575660776,-36.62239,-65.550705,-6.89399213200777,-1.2072185061107648
Gurugram,Haryana,14.0,-9.853286917473888,-3.239883837111667,-99.08858,-21.485285,-8.387001548588971,-2.765608109392376
Thiruvananthapuram,Kerala,24.0,-7.912603505307309,-4.002656017011792,-19.682516,-84.91705,-6.646752338735842,-3.3638858780023777
Jaipur,Rajasthan,78.0,-0.03761870316174836,-4.24827166175858,10.923371,-34.211033,-0.055449616984233716,-3.5839029103154947
Aizawl,Mizoram,90.0,-4.047331901023254,7.626467396753793,8.364046,76.67472,-3.4634030005103886,6.459210799562211
Visakhapatnam,Andhra Pradesh,131.0,16.734308498511446,-8.229457819691884,82.141624,-42.095406,14.23626033731303,-7.090703158970991
Bhopal,Madhya Pradesh,141.0,3.445431080969063,-0.4011702943873023,27.52358,-40.920643,2.842370527198052,-0.36910912669125556
Kohima,Nagaland,72.0,-6.380413013572892,2.312562953217704,-38.586445,41.561428,-5.473992617553679,1.981390876864812
Ranchi,Jharkhand,83.0,-0.8173735759986064,1.3174311331156368,35.39844,42.40116,-0.740168743374876,1.0492012780815265
Gurugram,Haryana,151.0,5.347278377768902,6.7854759347661595,61.77768,20.327188,4.618469059549644,5.756365729526909
Delhi,Delhi,151.0,12.277089138402994,-6.729986820278459,65.684784,-45.047474,10.438902177876942,-5.791726206547362
Shimla,Himachal Pradesh,53.0,-7.008573013517551,-1.290346803264962,-53.733334,70.751915,-5.984506197716177,-1.0912486532897245
Gurugram,Haryana,74.0,0.8439221288538876,-1.0988059935822325,22.982237,5.6955223,0.6597841306546893,-0.9152001936276141
Panaji,Goa,50.0,-7.267482179643232,-1.130833285865715,3.0576766,9.248279,-6.207391787192687,-0.9757929804755215
Lucknow,Uttar Pradesh,99.0,-2.5404796480423877,4.279284560461898,24.791021,58.285423,-2.1894930314474994,3.73000578561806
Bengaluru,Karnataka,35.0,-7.3429865198136515,-4.018783988219598,-25.399937,-67.44217,-6.242213403078501,-3.468851936434453
Shimla,Himachal Pradesh,55.0,-6.495168614015855,1.60541950034216,-48.558178,34.55134,-5.479766076308317,1.3035643927922849
Shimla,Himachal Pradesh,81.0,-4.366451814397887,4.824274826073664,-51.218124,52.17783,-3.7010408624879663,4.002650095968625
Mumbai,Maharashtra,163.0,10.291020621867377,3.3185328583271336,32.534794,19.95648,8.68095822614235,2.8305959913715197
Shimla,Himachal Pradesh,135.0,-5.403418060698702,8.81120162755663,7.3353353,70.639145,-4.555982022594127,7.498089797482633
Ahmedabad,Gujarat,155.0,7.048951675247408,3.798782281035656,65.12063,-1.2253642,5.985826509840885,3.2139097541008432
Ranchi,Jharkhand,100.0,-0.8860945887092251,3.9272128904650825,8.370299,54.225704,-0.8271064999212127,3.3021387464755847
Chandigarh,Punjab,154.0,7.0746793202392055,3.7414767710242463,26.746681,-3.4153502,5.990445483655336,3.233111366681555
