Feature,Regression_BuiltIn,Classification_BuiltIn
numerical__Week,2471,9.57548749935693
numerical__Year,1530,10.828068256262513
numerical__Temp_Humidity,1270,5.647302340155605
numerical__Surface_Pressure_hPa,1249,9.627558860633355
numerical__Wind_Dir_10m,965,1.955960042214312
numerical__Week_of_Month,934,6.217051538039091
numerical__Temp_2m_C,863,2.3187747702174306
numerical__Absolute_Latitude,704,2.641286375409833
numerical__Longitude,659,8.762463843611158
numerical__Day_of_Week,625,0.8928522684282018
numerical__Month_Cos,497,5.245793282025454
numerical__Cloud_Cover_Percent,377,0.9994299748519447
numerical__Weekday_Cos,376,1.6557994315740339
numerical__Lat_Long_Interaction,357,4.31396469369849
numerical__Weekday_Sin,330,1.2643901310270875
numerical__Month_Sin,289,3.296339756178321
numerical__Cloud_High_Percent,285,0.425318743192284
numerical__Days_in_Month,267,2.4637514239642146
numerical__Solar_Radiation_Wm2,229,0.40681442181189115
numerical__Hour_Cos,182,0.5511298787475977
categorical__City_Gurugram,172,0.6823629338253775
categorical__City_Mumbai,125,0.3121100859846878
categorical__Wind_Category_Fresh,124,0.8009465608871941
numerical__Festival_Period,119,0.2939919408896597
categorical__City_Delhi,93,0.32731366361286385
categorical__Time_of_Day_Evening,82,0.5716160625122155
categorical__City_Kolkata,80,0.30775015579687426
categorical__Season_Summer,77,1.1283445111455936
numerical__Crop_Burning_Season,76,0.35117662894586105
categorical__Time_of_Day_Afternoon,75,0.43667144778101086
numerical__Rain_mm,68,0.26146252080478743
categorical__City_Hyderabad,64,0.03972884625175023
categorical__Wind_Category_Strong,63,0.3348228729724385
categorical__City_Patna,62,0.08419728092129568
categorical__City_Agartala,60,0.09638491076606903
numerical__Is_Raining,59,0.052837907610441874
categorical__Wind_Category_Moderate,56,0.0
categorical__City_Bhubaneswar,55,0.07069240044898477
categorical__Wind_Category_Light,54,0.18996234258015782
categorical__Longitude_Band_East-Central,53,0.024432446338006147
categorical__Season_Monsoon,51,2.244837388938211
categorical__Longitude_Band_Central,50,0.8522197387876955
categorical__Latitude_Band_Central,49,0.2854638706136069
numerical__Sunshine_Seconds,47,0.03556741947706723
categorical__City_Lucknow,46,0.0
categorical__City_Chennai,44,0.05784151527129957
categorical__City_Ranchi,44,0.02725542193334653
categorical__City_Bhopal,40,0.14488335391281112
categorical__Time_of_Day_Night,39,0.15027997843301286
numerical__Northern_India,39,0.5500246705207775
categorical__Time_of_Day_Night_Late,38,0.09548488739224545
categorical__City_Panaji,37,0.08911498056844323
categorical__City_Raipur,35,0.08087113532135759
categorical__Longitude_Band_West-Central,34,1.7404685202125536
categorical__City_Jaipur,32,0.06870367413390017
categorical__City_Dehradun,31,0.0
categorical__Latitude_Band_North,29,0.4756097515788549
numerical__Quarter,29,0.40818004071834674
categorical__City_Visakhapatnam,27,0.09112217383474265
categorical__City_Shillong,26,0.04994321032279536
categorical__Season_Winter,24,0.359231368130904
categorical__Latitude_Band_South,22,0.2670952698033749
categorical__Time_of_Day_Early_Morning,21,0.145256224160093
categorical__City_Chandigarh,20,0.06531672759110783
categorical__City_Guwahati,19,0.07893379499190799
categorical__City_Bengaluru,16,0.008477373961226334
categorical__Time_of_Day_Morning,16,0.0
categorical__City_Imphal,14,0.1478420571858224
categorical__City_Aizawl,12,0.05594175061493921
categorical__Wind_Category_Calm,8,0.0
categorical__City_Gangtok,5,0.0
numerical__Wind_Stagnation,3,0.0
categorical__City_Thiruvananthapuram,1,0.0267672043123391
categorical__Latitude_Band_Very South,1,0.0
categorical__Longitude_Band_East,1,0.16938637551668867
categorical__City_Itanagar,0,0.0573818858044319
categorical__City_Ahmedabad,0,0.03655284137589276
categorical__Season_Post_Monsoon,0,0.2148190117332369
categorical__City_Shimla,0,0.0
categorical__Latitude_Band_Very North,0,0.0
numerical__Latitude,0,4.927352354818655
numerical__Is_Weekend,0,0.16119446939234308
categorical__Longitude_Band_West,0,0.37423650716098916
categorical__City_Kohima,0,0.0
