Feature,MI_Score,RF_Importance,ET_Importance,LGBM_Importance,Permutation_Importance,SHAP_Importance
Absolute_Latitude,0.9058868395588984,0.019723653308714974,0.03180665861330516,0.04822222222222222,0.05543864411783041,1.848518561399354
City,0.292968734534301,0.009548836055498383,0.03281465367398341,0.0065,0.0005591942992369722,0.04413033392773837
Cloud_Cover_Percent,0.24763161362477026,0.0065104748170853235,0.009936626887525175,0.0054444444444444445,0.0011755743763298132,0.21765311712723115
Cloud_High_Percent,0.3518218269372909,0.10091365533711469,0.013360119161630764,0.014666666666666668,0.019974344720399922,2.8199965257303887
Cloud_Low_Percent,0.2447332916387674,0.00866989157982248,0.005756979660966486,0.009222222222222224,0.0005093261626320511,0.043868293788869396
Cloud_Mid_Percent,0.0045991755419972765,0.001667068566136257,0.006473897911428222,0.00044444444444444447,2.8013522271312187e-05,0.0037257563692217415
Coastal_State,0.02513422924279915,0.0012392843640622285,0.00469990151438557,0.0037777777777777775,0.0007045481795526405,0.051051028113883984
Crop_Burning_Season,0.01908724056949319,0.008551331929948579,0.006587108852582952,0.036166666666666666,0.0069489011864928285,0.2837936694773839
Day,0.026008116863814625,0.009210156521742549,0.006244700383550423,0.0,0.0,0.0
Day_of_Month,0.015832627393596085,0.004331403753364751,0.0035215141794052336,0.004722222222222222,0.0,0.007592519972174283
Day_of_Week,0.6853434278215763,0.06467245929051817,0.019849548699316204,0.11938888888888889,0.07688984671210279,2.4546592177797106
Day_of_Year,0.06742545762309332,0.0031320900333013865,0.006885931453017384,0.005166666666666667,0.0007233762918001929,0.058816115051296816
Days_in_Month,0.3279575876983769,0.041634196212723816,0.021047285703049694,0.04716666666666666,0.028027128908729326,1.560438097421477
Dew_Point_C,0.050344460030205915,0.00470295311634439,0.0025295172581304907,0.006,0.0002166666666666798,0.01762969594436995
Diffuse_Radiation_Wm2,0.013918425120122258,0.004176430834998242,0.0026089289669371627,0.004333333333333333,0.00033333333333335213,0.004043915629924011
Direct_Radiation_Wm2,0.1966056651990502,0.0005620980235509392,0.0061798881871986495,0.0006111111111111111,0.00018954540102918602,0.06684226559922891
Dry_Day,0.02320925677087677,0.0008963690771849873,0.0032818856585492898,0.0023333333333333335,0.00029820915613730053,0.02010389233153957
Festival_Period,0.2212357772495207,0.0026775230156948814,0.012687358313890052,0.0,0.0,0.0
Heavy_Cloud,0.006652312818378405,3.342665566384807e-05,0.0001292976865674827,0.0,0.0,0.0
Heavy_Rain,0.026521040473539398,0.000303020392430267,0.0018692230166232546,0.0,0.0,0.0
High_Wind,0.017911010234300237,0.007997004535525898,0.00448364933763075,0.009333333333333334,0.002705079219678848,0.0882153488138915
Hour,0.0,0.003946966986853713,0.0026717167568050815,0.0027222222222222222,0.0,0.0016683525265108739
Hour_Cos,0.012156894481606895,0.010013768057324051,0.007600346713800999,0.021777777777777778,0.011489649393906823,0.9399599555492144
Hour_Sin,0.20820880843634648,0.008958979700507616,0.006899059660324516,0.006555555555555556,0.0004927600330371651,0.07083253284972023
Humidity_Category,0.023283229206802945,0.002000146380222863,0.006272311667455241,5.555555555555556e-05,1.666666666666483e-05,2.095779203102634e-05
Humidity_Percent,0.01716100095401918,0.0004835826163887642,0.0018926274738652192,0.00022222222222222223,0.0,0.0002954733188918361
Inland_State,0.0015802746558673032,0.00031598947616056467,0.0011876414026455776,5.555555555555556e-05,0.0,1.170742098384115e-05
Is_Daytime,0.0,0.00033171989493889454,0.0013408368858818043,0.0,0.0,0.0
Is_Month_End,0.00010408463556346652,0.00021040455904208286,0.000569502830568902,0.0,0.0,0.0
