Feature,Mutual Information,F Score
US_AQI_PM25,4.278875617268654,966932.8380121689
EU_AQI_PM25,3.6071925457485854,998132.3423732475
PM2_5_ugm3_RollingMean_24H,3.1713711425045767,1050534.728790695
EU_AQI,2.755948579819319,7182784.61657808
PM2_5_ugm3_EMA_24H,1.8203856860430108,1011450.6155836543
US_AQI_PM10,1.56089228772196,5970518.93704916
EU_AQI_PM10,1.5553385616178828,6199604.162501559
PM10_ugm3_RollingMean_24H,1.4864064012730367,5408525.590186485
PM2_5_ugm3_RollingMax_24H,1.4226638844609747,940387.6436303642
PM2_5_ugm3_EMA_12H,1.3397905511844055,924160.7072072125
PM2_5_ugm3_RollingMean_12H,1.284104287906377,906496.4869702145
PM2_5_ugm3_RollingMax_12H,1.2169809722651008,884140.8407738463
PM2_5_ugm3_RollingMin_24H,1.180827544983071,879533.913396377
PM10_ugm3_EMA_24H,1.1510649951259975,4833361.341494381
PM10_ugm3_RollingMax_24H,1.1248254942087321,2655027.378787282
PM2_5_ugm3_RollingMin_12H,1.0708483123657206,794719.7954571581
PM2_5_ugm3_EMA_6H,1.0542991646841209,808039.0566970068
PM2_5_ugm3_RollingMax_6H,1.0053622330717333,794543.1263724753
PM10_ugm3_RollingMax_12H,0.9920696214393558,2569302.4682889623
PM2_5_ugm3_RollingMean_6H,0.9903630726202639,774168.9835987957
PM2_5_ugm3_Lag_12H,0.9903067335048785,764027.9106604955
PM10_ugm3_EMA_12H,0.9884177348162897,3809924.574420834
PM10_ugm3_RollingMean_12H,0.9627446681450884,3763576.2731298665
PM2_5_ugm3_Lag_6H,0.9470988935941627,751802.0377550704
PM2_5_ugm3_RollingMin_6H,0.9347326321108138,703891.4688295443
PM10_ugm3_RollingMin_24H,0.9223207238623612,2906309.8825560436
PM2_5_ugm3_Lag_3H,0.8976785400226737,719177.6919842153
PM10_ugm3_RollingMin_12H,0.8623436377419793,2838246.521778451
PM2_5_ugm3_Lag_1H,0.857974041405904,692029.1914314094
PM10_ugm3_EMA_6H,0.8482595194153273,2798535.9712834675
PM10_ugm3_RollingMax_6H,0.8470501344989598,2253960.791177942
PM2_5_ugm3_Lag_24H,0.8431568604498185,678503.6626367475
PM2_5_ugm3,0.8402528126923494,677908.798899862
PM10_ugm3_RollingMean_6H,0.8138472678759854,2643590.1946390322
PM10_ugm3_Lag_12H,0.8053594998428659,2608464.750833989
PM10_ugm3_RollingMin_6H,0.7945466255384259,2419939.040235866
PM10_ugm3_Lag_6H,0.7922155838738076,2497598.543316303
PM10_ugm3_Lag_3H,0.7590367930739763,2232113.2177277035
PM10_ugm3_Lag_1H,0.7278033726827751,1989670.5538005014
PM10_ugm3_Lag_24H,0.7193638017834099,1971681.8448330236
PM10_ugm3,0.712043480169295,1860021.09279511
CO_ugm3_RollingMax_24H,0.6647199889756772,158049.46272591766
O3_ugm3_RollingMax_24H,0.6085643855468694,316269.76623529143
US_AQI_O3,0.5902517037230437,102039.30122318285
CO_ugm3_RollingMin_24H,0.5756392435225415,220240.46748327548
Mean_Pollution,0.5696335506676444,304580.9774566529
Total_Pollution,0.569540190345668,304580.97745604697
SO2_ugm3_RollingMax_24H,0.556482100633195,118545.46836657915
CO_ugm3_RollingMean_24H,0.5446666406227507,202616.96704953723
CO_ugm3_RollingMax_12H,0.5390293336446623,149759.99392250832
Humidity_PM25,0.528421263582187,292026.19167565973
PM2_5_ugm3_RollingStd_24H,0.5199663266539236,447762.234822796
PM2_5_ugm3_Volatility_24H,0.5199414547738002,447773.7517207851
CO_ugm3_EMA_24H,0.4970999263511775,195476.17206972407
PM10_ugm3_RollingStd_24H,0.4836761198417534,1173464.8157538248
PM10_ugm3_Volatility_24H,0.483638026918241,1173472.5011428832
SO2_ugm3_RollingMax_12H,0.4830170132941243,117803.35396114753
CO_ugm3_RollingMin_12H,0.4813864683732785,163692.4226846315
SO2_ugm3_RollingMin_24H,0.46507466760617344,134426.36832151635
SO2_ugm3_RollingMean_24H,0.45819385527561707,139693.59440509914
