Feature,Correlation,Variance,MI,RF,ET,LGBM,Permutation,SHAP,Votes
Cloud_High_Percent,1,1,1,1,1,1,1,1,8
Temp_2m_C,1,1,1,1,1,1,1,1,8
Surface_Pressure_hPa,1,1,1,1,1,1,1,1,8
Wind_Category,1,1,1,1,1,1,1,1,8
Latitude_Band,1,1,1,1,1,1,1,1,8
Is_Raining,1,1,1,1,1,1,1,1,8
Days_in_Month,1,1,1,1,1,1,1,1,8
Day_of_Week,1,1,1,1,1,1,1,1,8
Weekday_Sin,1,1,1,1,1,1,1,1,8
Year,1,1,1,1,1,1,1,1,8
Month_Cos,1,1,1,1,1,1,1,1,8
Quarter,0,1,1,1,1,1,1,1,7
Longitude,1,1,1,0,1,1,1,1,7
Lat_Long_Interaction,0,1,1,1,1,1,1,1,7
Absolute_Latitude,0,1,1,1,1,1,1,1,7
Solar_Radiation_Wm2,0,1,1,1,1,1,1,1,7
Wind_Dir_10m,1,1,1,1,1,0,1,1,7
Weekday_Cos,1,1,0,1,1,1,1,1,7
Week_of_Month,1,1,0,1,0,1,1,1,6
Time_of_Day,1,1,0,1,0,1,1,1,6
Longitude_Band,1,1,0,1,1,0,1,1,6
Crop_Burning_Season,1,1,0,0,0,1,1,1,5
Month_Sin,1,1,0,1,0,1,1,0,5
Temp_Humidity,1,1,1,1,1,0,0,0,5
Is_Weekend,1,1,1,1,1,0,0,0,5
Wind_Stagnation,1,1,0,1,1,0,0,1,5
Sunshine_Seconds,1,1,0,1,0,1,0,1,5
Hour_Cos,1,1,0,0,0,1,1,1,5
Rain_mm,1,0,0,1,0,1,1,1,5
City,1,1,1,0,1,0,0,0,4
Festival_Period,1,1,1,0,1,0,0,0,4
Cloud_Cover_Percent,0,1,1,0,1,0,0,1,4
Northern_India,1,1,1,0,1,0,0,0,4
Season,1,1,0,0,0,1,1,0,4
Week,1,1,0,1,0,1,0,0,4
Latitude,1,1,1,0,1,0,0,0,4
Weather_Stress_Index,1,1,0,0,0,1,0,0,3
Hour_Sin,1,1,1,0,0,0,0,0,3
Cloud_Low_Percent,1,1,1,0,0,0,0,0,3
Month,1,1,1,0,0,0,0,0,3
High_Wind,1,1,0,0,0,0,1,0,3
Cloud_Mid_Percent,1,1,0,0,0,0,0,0,2
Wind_Gusts_kmh,1,1,0,0,0,0,0,0,2
Diffuse_Radiation_Wm2,1,1,0,0,0,0,0,0,2
Day_of_Month,1,1,0,0,0,0,0,0,2
Pressure_MSL_hPa,1,1,0,0,0,0,0,0,2
Humidity_Category,1,1,0,0,0,0,0,0,2
Humidity_Percent,1,1,0,0,0,0,0,0,2
Hour,1,1,0,0,0,0,0,0,2
Direct_Radiation_Wm2,1,1,0,0,0,0,0,0,2
Inland_State,1,1,0,0,0,0,0,0,2
Is_Daytime,1,1,0,0,0,0,0,0,2
Is_Month_End,1,1,0,0,0,0,0,0,2
Is_Month_Start,1,1,0,0,0,0,0,0,2
Is_Quarter_End,1,1,0,0,0,0,0,0,2
Is_Quarter_Start,1,1,0,0,0,0,0,0,2
Week_of_Year,1,1,0,0,0,0,0,0,2
State,1,1,0,0,0,0,0,0,2
Coastal_State,0,1,0,0,0,0,0,0,1
Heavy_Rain,1,0,0,0,0,0,0,0,1
Dry_Day,0,1,0,0,0,0,0,0,1
Heavy_Cloud,0,1,0,0,0,0,0,0,1
Day,0,1,0,0,0,0,0,0,1
Day_of_Year,0,1,0,0,0,0,0,0,1
Dew_Point_C,0,1,0,0,0,0,0,0,1
Temp_Wind,1,0,0,0,0,0,0,0,1
Pressure_Difference,0,1,0,0,0,0,0,0,1
Temp_Dew_Diff,0,1,0,0,0,0,0,0,1
Wind_Gust_Ratio,1,0,0,0,0,0,0,0,1
Temp_Inversion,1,0,0,0,0,0,0,0,1
Precipitation_mm,0,0,0,0,0,0,0,0,0
Wind_Speed_10m_kmh,0,0,0,0,0,0,0,0,0
