City,Degree Centrality,Betweenness Centrality,Closeness Centrality,Eigenvector Centrality,Community ID
Guwahati,0.25,0.01587301587301588,0.3214285714285714,0.34593828185710174,0
Gangtok,0.25,0.01587301587301588,0.3214285714285714,0.34593828185710174,0
Shillong,0.25,0.01587301587301588,0.3214285714285714,0.34593828185710174,0
Kohima,0.25,0.01587301587301588,0.3214285714285714,0.34593828185710174,0
Imphal,0.25,0.01587301587301588,0.3214285714285714,0.34593828185710174,0
Agartala,0.3214285714285714,0.25925925925925924,0.42567567567567566,0.34207320602005065,0
Itanagar,0.21428571428571427,0.0,0.24609375,0.3017009489830479,0
Aizawl,0.21428571428571427,0.0,0.24609375,0.3017009489830479,0
Raipur,0.3214285714285714,0.17830687830687827,0.44999999999999996,0.15574150981548093,1
Kolkata,0.25,0.05317460317460317,0.40384615384615385,0.1430065593643849,1
Bhubaneswar,0.25,0.07857142857142857,0.4144736842105263,0.13900843284426245,1
Patna,0.21428571428571427,0.02178130511463844,0.375,0.13563673422977945,1
Ranchi,0.17857142857142855,0.012522045855379188,0.328125,0.0783352444654251,1
Mumbai,0.17857142857142855,0.06216931216931217,0.328125,0.07000722106019126,1
Lucknow,0.10714285714285714,0.0,0.2971698113207547,0.05492377134307981,1
Hyderabad,0.14285714285714285,0.06992945326278659,0.3214285714285714,0.047425690206113306,1
Visakhapatnam,0.07142857142857142,0.0,0.28125,0.04189449107905039,1
Bhopal,0.14285714285714285,0.06631393298059964,0.315,0.037997400276880096,1
Panaji,0.07142857142857142,0.0030864197530864196,0.24609375,0.01744653175112922,1
Ahmedabad,0.07142857142857142,0.004409171075837742,0.25,0.016046042991099945,1
Bengaluru,0.03571428571428571,0.0,0.2282608695652174,0.007045853308464286,1
Jaipur,0.03571428571428571,0.0,0.22499999999999998,0.005645364548435014,1
Chandigarh,0.07142857142857142,0.0,0.07142857142857142,4.3325671425715514e-16,2
Shimla,0.07142857142857142,0.0,0.07142857142857142,4.3325671425715514e-16,2
Dehradun,0.07142857142857142,0.0,0.07142857142857142,4.3325671425715514e-16,2
Delhi,0.03571428571428571,0.0,0.03571428571428571,1.983626838973746e-22,4
Gurugram,0.03571428571428571,0.0,0.03571428571428571,1.983626838973746e-22,4
Chennai,0.0,0.0,0.0,2.8865569605459254e-33,3
Thiruvananthapuram,0.0,0.0,0.0,2.8865569605459254e-33,5
