Principal Component,Explained Variance,Cumulative Variance
PC1,0.3293967581803448,0.3293967581803448
PC2,0.10222095061123583,0.4316177087915806
PC3,0.06365466155662113,0.49527237034820176
PC4,0.046634497966339984,0.5419068683145417
PC5,0.04027205700210789,0.5821789253166496
PC6,0.029845012771273285,0.6120239380879229
PC7,0.026857747294937354,0.6388816853828603
PC8,0.024364654812018063,0.6632463401948784
PC9,0.02160794536467521,0.6848542855595536
PC10,0.017477056901112894,0.7023313424606665
PC11,0.015970630715152503,0.718301973175819
PC12,0.014642396101856558,0.7329443692776756
PC13,0.012203491647356172,0.7451478609250317
PC14,0.011881133631455683,0.7570289945564874
PC15,0.011081009646100565,0.768110004202588
PC16,0.01064246448463676,0.7787524686872248
PC17,0.010270851036489953,0.7890233197237148
PC18,0.009183189021145509,0.7982065087448602
PC19,0.00831562784932771,0.8065221365941879
PC20,0.007450289374717554,0.8139724259689055
PC21,0.0068916206189804565,0.8208640465878859
PC22,0.006695124645154856,0.8275591712330408
PC23,0.006438497596252199,0.8339976688292929
PC24,0.005889315395610544,0.8398869842249035
PC25,0.005679749206856599,0.84556673343176
PC26,0.005453049713456228,0.8510197831452163
PC27,0.005346980350246351,0.8563667634954627
PC28,0.005050029009587556,0.8614167925050502
PC29,0.00499559810098028,0.8664123906060305
PC30,0.004794327026629757,0.8712067176326602
PC31,0.004659936619945749,0.875866654252606
PC32,0.004538293059207731,0.8804049473118137
PC33,0.004513351616548571,0.8849182989283623
PC34,0.0043395864173278575,0.8892578853456902
PC35,0.0041513475994935526,0.8934092329451837
PC36,0.0038928990266149234,0.8973021319717986
PC37,0.0038064137745160514,0.9011085457463147
PC38,0.0036383545045111498,0.9047469002508258
PC39,0.003388739853540801,0.9081356401043666
PC40,0.003346352215126493,0.9114819923194931
PC41,0.0032888399884727867,0.9147708323079659
PC42,0.0031015374901308453,0.9178723697980967
PC43,0.0029830645997706677,0.9208554343978674
PC44,0.0028889154723974473,0.9237443498702649
PC45,0.002827982616937376,0.9265723324872023
PC46,0.00267788440096517,0.9292502168881674
PC47,0.0025842928111274584,0.9318345096992949
PC48,0.002545883130338131,0.934380392829633
PC49,0.002492180188939688,0.9368725730185727
PC50,0.002395326772301381,0.9392678997908741
PC51,0.0023195181559615943,0.9415874179468356
PC52,0.002165422071451839,0.9437528400182875
PC53,0.002139302292028861,0.9458921423103164
PC54,0.0020230256039349493,0.9479151679142513
PC55,0.0019829385881447764,0.9498981065023961
PC56,0.001924459571297949,0.9518225660736941
PC57,0.0018372538389592997,0.9536598199126534
PC58,0.0018013380265930253,0.9554611579392464
PC59,0.0017893977773751843,0.9572505557166215
PC60,0.0016676836076320069,0.9589182393242536
PC61,0.0015760090373368814,0.9604942483615905
PC62,0.0015464114710798651,0.9620406598326703
PC63,0.001485799002983497,0.9635264588356538
PC64,0.0014172294296243095,0.9649436882652781
PC65,0.0013954507352722618,0.9663391390005504
PC66,0.0013164895770801845,0.9676556285776305
PC67,0.00129243241772546,0.968948060995356
