Feature,Regression_Permutation,Classification_Permutation
numerical__Absolute_Latitude,0.06495326615054745,0.011999999999999966
numerical__Cloud_Cover_Percent,0.009691334889416115,0.001333333333333342
numerical__Cloud_High_Percent,0.007164342118834566,0.007999999999999985
numerical__Crop_Burning_Season,0.0030344704331983995,0.004666666666666619
numerical__Day_of_Week,0.00701148596240857,0.009999999999999964
numerical__Days_in_Month,0.008535551384586304,0.004666666666666641
numerical__Festival_Period,0.0033039476554038495,0.003999999999999959
numerical__Hour_Cos,0.00927223562137074,-0.00933333333333335
numerical__Is_Raining,4.297996409270421e-05,0.0033333333333332993
numerical__Is_Weekend,0.0,0.0006666666666666598
numerical__Lat_Long_Interaction,0.18660912199012686,0.019333333333333313
numerical__Latitude,0.0,0.017333333333333333
numerical__Longitude,0.08186406188063185,0.07733333333333332
numerical__Month_Cos,0.09361866404999901,0.06999999999999998
numerical__Month_Sin,0.010553708668467342,0.02533333333333332
numerical__Northern_India,0.03451605318519078,0.0033333333333333214
numerical__Quarter,0.0026159589139525207,0.0026666666666666393
numerical__Rain_mm,0.00043667546576184877,0.007333333333333325
numerical__Solar_Radiation_Wm2,0.005427651406312984,-0.006000000000000005
numerical__Sunshine_Seconds,0.0006530931352295655,0.0
numerical__Surface_Pressure_hPa,0.1932572864308607,0.142
numerical__Temp_2m_C,0.07918936467878748,0.009333333333333305
numerical__Temp_Humidity,0.12006589439702935,0.043333333333333314
numerical__Week,0.2640356919728096,0.11199999999999999
numerical__Week_of_Month,0.03213747929642261,0.04933333333333332
numerical__Weekday_Cos,0.012019650913264002,0.025333333333333298
numerical__Weekday_Sin,0.0020529568422407384,0.007333333333333303
numerical__Wind_Dir_10m,0.014682313747472486,-0.006000000000000005
numerical__Wind_Stagnation,0.0,0.0
numerical__Year,0.1329399814608258,0.076
categorical__City_Agartala,0.0011758313262209663,0.0006666666666666598
categorical__City_Ahmedabad,0.0,0.0
categorical__City_Aizawl,-3.82403613939708e-05,-0.0006666666666666598
categorical__City_Bengaluru,0.0005154247322660677,-0.0006666666666666598
categorical__City_Bhopal,0.002241494729309945,0.0033333333333332993
categorical__City_Bhubaneswar,0.0005346763704094038,0.0033333333333332993
categorical__City_Chandigarh,0.0006170090950489149,0.0
categorical__City_Chennai,0.0006466432160313173,-0.0006666666666666598
categorical__City_Dehradun,0.00016153419059095064,0.0
categorical__City_Delhi,0.000245988188408508,-0.0013333333333333196
categorical__City_Gangtok,-3.3828768539634346e-05,0.0
categorical__City_Gurugram,0.026680211090294524,0.0006666666666666598
categorical__City_Guwahati,0.0008861032141599834,0.0026666666666666393
categorical__City_Hyderabad,0.0006495981706413634,0.0
categorical__City_Imphal,0.0003222272453220043,-0.0020000000000000018
categorical__City_Itanagar,0.0,0.0
categorical__City_Jaipur,0.002618188762126339,0.0019999999999999797
categorical__City_Kohima,0.0,0.0
categorical__City_Kolkata,0.01050197377531048,0.0033333333333332993
categorical__City_Lucknow,0.001500278848124137,0.0
categorical__City_Mumbai,0.007279127602270008,0.0013333333333333196
categorical__City_Panaji,0.001481341942194958,0.0006666666666666598
categorical__City_Patna,0.00025428930752120494,0.0006666666666666598
categorical__City_Raipur,0.001157275942695768,-0.0013333333333333196
categorical__City_Ranchi,0.00027841757372615294,0.0
categorical__City_Shillong,-0.0005247079490865892,-0.0006666666666666598
categorical__City_Shimla,0.0,0.0
categorical__City_Thiruvananthapuram,1.986469351513698e-05,0.0026666666666666393
categorical__City_Visakhapatnam,0.0005440628819022742,-0.0019999999999999797
categorical__Season_Monsoon,0.10057867816623642,0.008666666666666645
categorical__Season_Post_Monsoon,0.0,0.0053333333333332785
categorical__Season_Summer,0.0025388482231669452,0.0019999999999999797
categorical__Season_Winter,0.001034686108456806,0.0
categorical__Time_of_Day_Afternoon,0.008020473997502452,0.007999999999999962
categorical__Time_of_Day_Early_Morning,0.0013301382552484142,0.0033333333333332993
categorical__Time_of_Day_Evening,0.013497945977250958,0.0033333333333333214
categorical__Time_of_Day_Morning,0.0006839136654160028,0.0
categorical__Time_of_Day_Night,0.0005362973175173646,0.0019999999999999797
categorical__Time_of_Day_Night_Late,0.0002804379182108407,0.0026666666666666393
categorical__Wind_Category_Calm,0.0003053330861491954,0.0
categorical__Wind_Category_Fresh,0.007436643179545866,-0.002000000000000024
categorical__Wind_Category_Light,0.0035107164227980102,0.0013333333333333196
categorical__Wind_Category_Moderate,0.0016246784834984985,0.0
categorical__Wind_Category_Strong,0.007376270066592317,0.00733333333333328
categorical__Latitude_Band_Central,0.005438815540033626,-0.002666666666666662
categorical__Latitude_Band_North,0.0005962211675065721,-0.006666666666666687
categorical__Latitude_Band_South,0.0010054849820908096,0.0013333333333333196
categorical__Latitude_Band_Very North,0.0,0.0
categorical__Latitude_Band_Very South,1.101184482217299e-05,0.0
categorical__Longitude_Band_Central,0.00511337192304433,-0.006666666666666687
categorical__Longitude_Band_East,6.507095444510113e-05,0.0
categorical__Longitude_Band_East-Central,-0.00015468631920168008,0.0013333333333333196
categorical__Longitude_Band_West,0.0,0.0019999999999999797
categorical__Longitude_Band_West-Central,-0.00014860853924543173,0.019999999999999952
