Model,Train MAE,Validation MAE,Train RMSE,Validation RMSE,Train R²,Validation R²,Validation MAPE
Random Forest,5.974632313518827,8.666242285736715,9.670966533937047,16.29451276799715,0.9809766764215099,0.9518809891364498,0.10418634630347223
Decision Tree,5.85453842177189,9.94661587726188,10.801577241360286,20.705267328090112,0.976268729728281,0.9223045443831382,0.11816121975983096
HistGradient Boosting,17.093061654225956,17.36001160786699,25.591413354447468,28.421051273565038,0.866790506337561,0.8536090565078133,0.21254070873360448
LightGBM,18.885891816680257,19.137529560249696,28.4700808604084,31.172513019646743,0.8351366822199637,0.823892616922186,0.23910600777422458
XGBoost,18.323135537608188,18.6068586036675,30.048409741853064,32.458146394727414,0.8163505552396252,0.8090668388208477,0.22866753187660951
Gradient Boosting,23.26440039864836,23.508523140956896,44.781961931189535,47.79098243991552,0.5921007872541291,0.5860710036839938,0.2887854514786663
Linear Regression,26.972601031573628,27.345811213480385,56.359425387477394,60.569828966612405,0.3539297437235268,0.3351148576169005,0.32289681659022207
Ridge Regression,26.95003039397312,27.322454832492483,56.36141371363644,60.57488239830834,0.35388415699008424,0.3350039082590137,0.32242196131281553
AdaBoost,39.22805638270243,39.213184665186134,61.28643010891364,61.36632680804951,0.23603179610895586,0.3175133026639583,0.5505762140278074
Lasso Regression,29.101796682915133,29.4558250172639,58.786345413666524,63.0061851180153,0.29709026439463204,0.2805505195216722,0.35399929315906914
ElasticNet,29.9754610360825,30.321296233960055,60.893644584116046,65.21752246917177,0.24579298001187133,0.22916304606212468,0.37576589495832813
