State,Mean_AQI,Std_AQI,Max_AQI,Min_AQI,City_Count,State AQI CV,State AQI Range
Haryana,222.52168073015326,263.2451267003559,2742.0,12.0,1,1.18300889080371,2730.0
Delhi,159.84363698983984,68.15381590823567,830.0,12.0,1,0.4263780353832148,818.0
Bihar,132.85107628723955,42.7816319515758,282.0,14.0,1,0.3220269880168446,268.0
Uttar Pradesh,129.40557947304976,40.690080417127604,429.0,12.0,1,0.3144383772540642,417.0
Chhattisgarh,123.69416221801275,38.733828944937734,231.0,12.0,1,0.3131419320878604,219.0
West Bengal,122.45975546753918,53.221426213310394,312.0,12.0,1,0.4346034010121633,300.0
Punjab,115.33800585500258,32.65530229556472,209.0,12.0,1,0.28312698883156867,197.0
Maharashtra,114.22899948338213,55.848233857415515,369.0,11.0,1,0.4889146723686417,358.0
Tripura,105.52929223351128,48.106058575823816,233.0,13.0,1,0.4558550290413824,220.0
Odisha,103.73108317547788,42.66135641028203,206.0,11.0,1,0.41126878370790226,195.0
Rajasthan,103.27036335457207,34.66707483012107,208.0,12.0,1,0.3356923874770724,196.0
Andhra Pradesh,102.50008610297917,37.056114697681615,204.0,12.0,1,0.3615227665316525,192.0
Jharkhand,100.32216290683658,39.83543872505177,213.0,12.0,1,0.3970751583779613,201.0
Uttarakhand,91.99280179094197,29.85160393935466,203.0,12.0,1,0.3244993451465241,191.0
Gujarat,89.11727225762012,33.600311132121135,213.0,12.0,1,0.37703477991325174,201.0
Assam,87.50504563457896,34.53512208854671,203.0,12.0,1,0.39466435150225926,191.0
Madhya Pradesh,85.03795419321509,33.34190227454361,178.0,12.0,1,0.39208260112640214,166.0
Telangana,83.88203891854658,38.10165800882996,195.0,12.0,1,0.454229039971578,183.0
Himachal Pradesh,74.89956948510418,26.66933569551346,193.0,12.0,1,0.3560679437659169,181.0
Tamil Nadu,74.3470983296022,27.784851994927894,206.0,12.0,1,0.3737180417149517,194.0
Goa,71.73380402961942,31.425590422352062,195.0,14.0,1,0.43808621120073604,181.0
Manipur,71.03402789736525,31.048418380942135,211.0,14.0,1,0.4370921838446636,197.0
Karnataka,66.77124160495953,32.1643377529853,204.0,12.0,1,0.48170944526207893,192.0
Meghalaya,66.27249870845532,33.90181191032645,200.0,13.0,1,0.5115517382174866,187.0
Sikkim,65.99076976063371,30.96445927255086,181.0,12.0,1,0.46922409580714536,169.0
Kerala,63.2288272774238,27.631319696796336,214.0,15.0,1,0.4370050954062571,199.0
Arunachal Pradesh,60.25365937661443,26.0151851832515,185.0,12.0,1,0.43176108227126997,173.0
Nagaland,60.00361632512485,30.664357791263775,198.0,10.0,1,0.5110418282976709,188.0
Mizoram,59.562045806784916,34.78068395318395,215.0,9.0,1,0.5839403848888945,206.0
