City,State,Temp_2m_C,Humidity_Percent,Precipitation_mm,Wind_Speed_10m_kmh,Weather_Cluster,Weather_Regime
Bhubaneswar,Odisha,29.3,61,0.0,1.1,1,Moderate/Clear
Kolkata,West Bengal,30.6,74,0.2,15.6,3,Humid/Overcast
Gurugram,Haryana,17.1,48,0.0,9.0,0,Moderate/Clear
Thiruvananthapuram,Kerala,25.2,93,0.0,1.0,2,Moderate/Clear
Jaipur,Rajasthan,22.5,80,0.0,6.0,2,Moderate/Clear
Aizawl,Mizoram,32.1,20,0.0,11.5,1,Moderate/Clear
Visakhapatnam,Andhra Pradesh,20.9,97,0.0,5.4,0,Moderate/Clear
Bhopal,Madhya Pradesh,20.5,53,0.0,7.1,2,Moderate/Clear
Kohima,Nagaland,25.5,74,0.1,6.4,3,Humid/Overcast
Ranchi,Jharkhand,24.7,20,0.0,8.4,1,Moderate/Clear
Gurugram,Haryana,30.3,43,0.0,11.2,1,Moderate/Clear
Delhi,Delhi,12.9,71,0.0,10.9,2,Moderate/Clear
Shimla,Himachal Pradesh,10.2,85,0.1,5.8,3,Humid/Overcast
Gurugram,Haryana,33.9,38,0.0,9.9,3,Humid/Overcast
Panaji,Goa,28.3,84,0.0,11.8,1,Moderate/Clear
Lucknow,Uttar Pradesh,31.2,38,0.0,9.5,3,Humid/Overcast
Bengaluru,Karnataka,19.5,94,0.0,14.2,3,Humid/Overcast
Shimla,Himachal Pradesh,18.6,67,0.5,6.8,2,Moderate/Clear
Shimla,Himachal Pradesh,20.7,75,0.4,9.7,3,Humid/Overcast
Mumbai,Maharashtra,22.0,88,0.1,10.6,0,Moderate/Clear
Shimla,Himachal Pradesh,28.1,16,0.0,16.9,3,Humid/Overcast
Ahmedabad,Gujarat,37.1,12,0.0,12.4,1,Moderate/Clear
Ranchi,Jharkhand,18.8,32,0.0,7.6,0,Moderate/Clear
Chandigarh,Punjab,23.8,40,0.0,15.4,2,Moderate/Clear
Itanagar,Arunachal Pradesh,31.5,40,0.0,7.3,1,Moderate/Clear
Kohima,Nagaland,21.7,90,0.1,1.0,3,Humid/Overcast
Chandigarh,Punjab,17.6,51,0.0,20.2,1,Moderate/Clear
Kolkata,West Bengal,37.6,55,0.0,7.4,3,Humid/Overcast
